date,run,PERIOD_WARMUP,BAND_VWAP,PERIOD_MA_1,PERIOD_RSI,PERIOD_MOM,DD_PROFIT,DD_RATIO,LOSSCUT_1,N_MINUS_MAX,trade,total
2026-03-23,0,150,3,30,159,150,10,0.1,-10,300,12,4400.0
2026-03-23,1,150,3,30,159,150,10,0.2,-10,300,12,3900.0
2026-03-23,2,150,3,30,159,150,10,0.3,-10,300,12,6100.0
2026-03-23,3,150,3,30,159,150,10,0.4,-10,300,12,5500.0
2026-03-23,4,150,3,30,159,150,10,0.5,-10,300,12,4400.0
2026-03-23,5,150,3,30,159,150,10,0.6,-10,300,12,4000.0
2026-03-23,6,150,3,30,159,150,10,0.7,-10,300,12,2300.0
2026-03-23,7,150,3,30,159,150,10,0.8,-10,300,12,10000.0
2026-03-23,8,150,3,30,159,150,10,0.9,-10,300,10,300.0
2026-03-23,9,150,3,30,159,150,20,0.1,-10,300,12,-1400.0
2026-03-23,10,150,3,30,159,150,20,0.2,-10,300,12,-2100.0
2026-03-23,11,150,3,30,159,150,20,0.3,-10,300,12,200.0
2026-03-23,12,150,3,30,159,150,20,0.4,-10,300,12,-400.0
2026-03-23,13,150,3,30,159,150,20,0.5,-10,300,12,-1300.0
2026-03-23,14,150,3,30,159,150,20,0.6,-10,300,12,-1600.0
2026-03-23,15,150,3,30,159,150,20,0.7,-10,300,12,-2300.0
2026-03-23,16,150,3,30,159,150,20,0.8,-10,300,12,5400.0
2026-03-23,17,150,3,30,159,150,20,0.9,-10,300,10,-4100.0
2026-03-23,18,150,3,30,159,150,30,0.1,-10,300,12,1000.0
2026-03-23,19,150,3,30,159,150,30,0.2,-10,300,12,1600.0
2026-03-23,20,150,3,30,159,150,30,0.3,-10,300,12,1100.0
2026-03-23,21,150,3,30,159,150,30,0.4,-10,300,12,200.0
2026-03-23,22,150,3,30,159,150,30,0.5,-10,300,12,-700.0
2026-03-23,23,150,3,30,159,150,30,0.6,-10,300,12,-1600.0
2026-03-23,24,150,3,30,159,150,30,0.7,-10,300,12,-2300.0
2026-03-23,25,150,3,30,159,150,30,0.8,-10,300,12,5400.0
2026-03-23,26,150,3,30,159,150,30,0.9,-10,300,10,-4100.0
2026-03-23,27,150,3,30,159,150,40,0.1,-10,300,12,2100.0
2026-03-23,28,150,3,30,159,150,40,0.2,-10,300,12,2400.0
2026-03-23,29,150,3,30,159,150,40,0.3,-10,300,12,1300.0
2026-03-23,30,150,3,30,159,150,40,0.4,-10,300,12,700.0
2026-03-23,31,150,3,30,159,150,40,0.5,-10,300,12,-700.0
2026-03-23,32,150,3,30,159,150,40,0.6,-10,300,12,-1600.0
2026-03-23,33,150,3,30,159,150,40,0.7,-10,300,12,-2300.0
2026-03-23,34,150,3,30,159,150,40,0.8,-10,300,12,5400.0
2026-03-23,35,150,3,30,159,150,40,0.9,-10,300,10,-4100.0
2026-03-23,36,150,3,30,159,150,50,0.1,-10,300,12,4300.0
2026-03-23,37,150,3,30,159,150,50,0.2,-10,300,12,3400.0
2026-03-23,38,150,3,30,159,150,50,0.3,-10,300,12,2400.0
2026-03-23,39,150,3,30,159,150,50,0.4,-10,300,12,1400.0
2026-03-23,40,150,3,30,159,150,50,0.5,-10,300,12,-700.0
2026-03-23,41,150,3,30,159,150,50,0.6,-10,300,12,-1600.0
2026-03-23,42,150,3,30,159,150,50,0.7,-10,300,12,-2300.0
2026-03-23,43,150,3,30,159,150,50,0.8,-10,300,12,5400.0
2026-03-23,44,150,3,30,159,150,50,0.9,-10,300,10,-4100.0
2026-03-23,45,150,3,30,159,150,60,0.1,-10,300,10,-4100.0
2026-03-23,46,150,3,30,159,150,60,0.2,-10,300,10,-4100.0
2026-03-23,47,150,3,30,159,150,60,0.3,-10,300,10,-4100.0
2026-03-23,48,150,3,30,159,150,60,0.4,-10,300,10,-4100.0
2026-03-23,49,150,3,30,159,150,60,0.5,-10,300,10,-4100.0
2026-03-23,50,150,3,30,159,150,60,0.6,-10,300,10,-4100.0
2026-03-23,51,150,3,30,159,150,60,0.7,-10,300,10,-4100.0
2026-03-23,52,150,3,30,159,150,60,0.8,-10,300,10,-4100.0
2026-03-23,53,150,3,30,159,150,60,0.9,-10,300,10,-4100.0
2026-03-23,54,150,3,30,159,150,70,0.1,-10,300,10,-4100.0
2026-03-23,55,150,3,30,159,150,70,0.2,-10,300,10,-4100.0
2026-03-23,56,150,3,30,159,150,70,0.3,-10,300,10,-4100.0
2026-03-23,57,150,3,30,159,150,70,0.4,-10,300,10,-4100.0
2026-03-23,58,150,3,30,159,150,70,0.5,-10,300,10,-4100.0
2026-03-23,59,150,3,30,159,150,70,0.6,-10,300,10,-4100.0
2026-03-23,60,150,3,30,159,150,70,0.7,-10,300,10,-4100.0
2026-03-23,61,150,3,30,159,150,70,0.8,-10,300,10,-4100.0
2026-03-23,62,150,3,30,159,150,70,0.9,-10,300,10,-4100.0
